txid,vout_index,output_address,value_rvn,script_type,asset_name,asset_amount,asset_type
037924b8a57cbe808743fd122cef72aba2bb32c9e35f045cbda9d97f692e1afb,0,,0.00000000,nulldata,,,
037924b8a57cbe808743fd122cef72aba2bb32c9e35f045cbda9d97f692e1afb,1,RPZtLqLi36RdtkwfnByxXinjAZH1GFSf4F,990.36747000,pubkeyhash,,,
03a9ecec754405f96dc961f449c7da506bb0cb81cbb5b963b337a598ea974f04,0,,0.00000000,nulldata,,,
03a9ecec754405f96dc961f449c7da506bb0cb81cbb5b963b337a598ea974f04,1,RVM9bNN5kd2JVSSYdwjjtw2YcdE9XuLtCV,992.92599000,pubkeyhash,,,
03b57c4528cac9284eac795b1a3e2afffa73af2466df5ba2f308fd36a6ed0d84,0,,0.00000000,nulldata,,,
03b57c4528cac9284eac795b1a3e2afffa73af2466df5ba2f308fd36a6ed0d84,1,RN4mrbArSJvHftPJbunJW98YU9WhBG5zxj,989.41283000,pubkeyhash,,,
03c7519bf5dfd4ea1317d2d022e30f3a7ac0bd73def4c9310a06f9d1f0b2d206,0,,0.00000000,nulldata,,,
03c7519bf5dfd4ea1317d2d022e30f3a7ac0bd73def4c9310a06f9d1f0b2d206,1,RX9kCfZw59VFJh7ECY7qWaRK6rhLi7QaXg,990.53031000,pubkeyhash,,,
03e182762070607c6434d1953b21aae6ae82acbc97ceebb314fb188ffed7723f,0,,0.00000000,nulldata,,,
03e182762070607c6434d1953b21aae6ae82acbc97ceebb314fb188ffed7723f,1,RGEKkd34C8ZzVxeEBvvPpFBiHWZQBKZuK8,993.02535000,pubkeyhash,,,
040ed129a7bcace18eb860ca60302398d50df34ae5ec76c77b6cdccaa9f4fa9a,0,,0.00000000,nulldata,,,
040ed129a7bcace18eb860ca60302398d50df34ae5ec76c77b6cdccaa9f4fa9a,1,RUxhoYpP94MG9mvu7583CmtnTHDgcWkykQ,989.01263000,pubkeyhash,,,
041780a4399dc37e39a73277b9a3eb965b31f42fa2f801aa043e99803d5c1a3b,0,,0.00000000,nulldata,,,
041780a4399dc37e39a73277b9a3eb965b31f42fa2f801aa043e99803d5c1a3b,1,RTPP4W9GMmHoD7hPb93iNCNUVwMLwtvDeQ,989.41835000,pubkeyhash,,,
041a7d6b6b4acfc479ca809a9ecc397c8fd0342217624a0b40d0872d5164e01e,0,,0.00000000,nulldata,,,
041a7d6b6b4acfc479ca809a9ecc397c8fd0342217624a0b40d0872d5164e01e,1,RXs5H1LcEDf4wuxPZC5v2ptUqvKpeQZFsw,994.24512000,pubkeyhash,,,
044614bac45b93edcc8103d608c92003b4c1cd92f8d207e010c0bb3cfce2fa79,0,,0.00000000,nulldata,,,
044614bac45b93edcc8103d608c92003b4c1cd92f8d207e010c0bb3cfce2fa79,1,RMmzhyUcrECopd2rjQ6rmRc78WgVj8Sob1,993.94152000,pubkeyhash,,,
047d1c2faed596856dcd73d664a0b7e4a86f9ffc328998f9cfdd01a0f660a532,0,,0.00000000,nulldata,,,
047d1c2faed596856dcd73d664a0b7e4a86f9ffc328998f9cfdd01a0f660a532,1,R9hTgMepwYvNN3s1Sh4ePLj7EDFqnCiJ2Q,993.98292000,pubkeyhash,,,
048570f3bdfdc19717ad57ba06937dfcaf68d547c629f13b294bedb4a5586f57,0,,0.00000000,nulldata,,,
048570f3bdfdc19717ad57ba06937dfcaf68d547c629f13b294bedb4a5586f57,1,RS2XBsCxXHj5DZ1TMdKsBrpfkFFcLAZ55c,989.43491000,pubkeyhash,,,
049315547146029a11f791e88a698a5df28cbe80c85384724035bb1e74586e53,0,,0.00000000,nulldata,,,
049315547146029a11f791e88a698a5df28cbe80c85384724035bb1e74586e53,1,RWc7JgyJvDaktXLmLYdpbD7UMz2CSwFars,991.38039000,pubkeyhash,,,
049c0a56a3d34b076ce9705c506619adea384df19819c2bc6288cd90c9ea2cd8,0,,0.00000000,nulldata,,,
049c0a56a3d34b076ce9705c506619adea384df19819c2bc6288cd90c9ea2cd8,1,RVYWP1T2MxrrEpUhj2Ri6UqBkDyFCCdimj,994.28376000,pubkeyhash,,,
04c552ca03cc07b15fef1a8c89cfe17067b40fe651477f464a8a1c3c07677549,0,RVSGYdoJnhRVnm6MZu1FU9Jc141RJWHdM6,677.62351175,pubkeyhash,,,
04c552ca03cc07b15fef1a8c89cfe17067b40fe651477f464a8a1c3c07677549,1,REZAECZM563Dp8HEWXJ8KsjATeUqiGmAC5,40.19760365,pubkeyhash,,,
